id,category,keyword,description,recognition_prompt
LISTEN01,듣기와 존중,경청,상대의 말을 끝까지 듣는 태도,무엇을 듣고 반응한 장면인지 말하기
LISTEN02,듣기와 존중,존중,다른 의견을 함부로 낮추지 않는 태도,상대의 생각을 어떻게 살렸는지 말하기
LISTEN03,듣기와 존중,수용,낯선 의견도 한 번 받아보는 태도,어떤 의견을 받아주었는지 말하기
LISTEN04,듣기와 존중,반응,말하는 사람이 계속 말할 수 있게 돕는 태도,어떤 반응이 도움이 되었는지 말하기
LISTEN05,듣기와 존중,안정,팀 대화가 차분하게 이어지도록 돕는 태도,어떤 순간에 분위기가 안정됐는지 말하기
LISTEN06,듣기와 존중,배려,상대가 참여하기 쉽게 공간을 내어주는 태도,누가 어떻게 참여할 수 있었는지 말하기
TEAM01,협업,연결,흩어진 의견을 하나의 흐름으로 묶는 행동,어떤 의견과 의견을 연결했는지 말하기
TEAM02,협업,도움,팀원이 어려워하는 일을 함께 처리하는 행동,어떤 도움을 주었는지 말하기
TEAM03,협업,조율,서로 다른 의견 사이에서 합의를 돕는 행동,어떤 선택을 돕게 했는지 말하기
TEAM04,협업,나눔,정보와 역할을 혼자 쥐지 않고 나누는 행동,무엇을 나눠 팀에 도움이 됐는지 말하기
TEAM05,협업,신뢰,맡은 역할을 책임 있게 해내는 행동,어떤 약속을 지켰는지 말하기
TEAM06,협업,분위기,팀이 계속 참여할 수 있게 에너지를 보태는 행동,어떤 말이나 행동이 힘이 됐는지 말하기
EXEC01,실행,집중,지금 해야 할 일에 몰입하는 태도,어떤 장면에서 집중이 보였는지 말하기
EXEC02,실행,책임,맡은 일을 끝까지 처리하는 태도,어떤 일을 책임 있게 처리했는지 말하기
EXEC03,실행,속도,결정을 미루지 않고 움직임을 만드는 행동,어떤 진행을 빠르게 만들었는지 말하기
EXEC04,실행,완성,아이디어를 실제 결과물로 만드는 행동,무엇을 구체적으로 만들었는지 말하기
EXEC05,실행,시도,완벽하지 않아도 먼저 해보는 태도,어떤 시도가 팀에 도움이 됐는지 말하기
EXEC06,실행,끈기,어려운 과정을 쉽게 포기하지 않는 태도,어떤 어려움 속에서 계속했는지 말하기
THINK01,사고와 표현,질문,대화를 넓히는 질문을 던지는 행동,어떤 질문이 생각을 넓혔는지 말하기
THINK02,사고와 표현,정리,복잡한 내용을 알아듣기 쉽게 묶는 행동,무엇을 정리해 팀에 도움을 줬는지 말하기
THINK03,사고와 표현,관찰,놓치기 쉬운 장면을 찾아내는 행동,어떤 장면을 알아차렸는지 말하기
THINK04,사고와 표현,아이디어,새로운 선택지를 제안하는 행동,어떤 아이디어가 도움이 됐는지 말하기
THINK05,사고와 표현,구조화,생각을 순서와 형태로 만드는 행동,어떤 흐름을 잡아줬는지 말하기
THINK06,사고와 표현,피드백,상대가 고칠 수 있게 말해주는 행동,어떤 피드백이 도움이 됐는지 말하기
SHIFT01,전환과 성장,용기,어렵지만 필요한 말을 꺼내는 태도,어떤 말을 꺼낸 점이 좋았는지 말하기
SHIFT02,전환과 성장,유연함,처음 생각을 바꿔 더 나은 선택을 찾는 태도,어떤 변화가 팀에 도움이 됐는지 말하기
SHIFT03,전환과 성장,회복,실수 뒤에 다시 참여하는 태도,어떤 방식으로 다시 참여했는지 말하기
SHIFT04,전환과 성장,솔직함,상황과 생각을 꾸미지 않고 말하는 태도,어떤 솔직함이 도움이 됐는지 말하기
SHIFT05,전환과 성장,학습,새로 배운 것을 바로 적용하려는 태도,무엇을 바로 적용했는지 말하기
SHIFT06,전환과 성장,결심,다음 행동을 분명하게 고르는 태도,어떤 행동을 선택했는지 말하기
