id,type,question,intent
F01,사실,지금 실제로 일어난 일은 무엇입니까?,상황 구체화
F02,사실,이 상황에서 가장 분명한 사실은 무엇입니까?,사실 분리
F03,사실,아직 말하지 않은 정보는 무엇입니까?,누락 정보 탐색
F04,사실,팀 안에서 반복되는 장면은 무엇입니까?,패턴 파악
F05,사실,지금 가장 많은 시간을 쓰는 문제는 무엇입니까?,우선순위 파악
F06,사실,이 상황에 영향을 주는 사람은 누구입니까?,관계 파악
F07,사실,우리가 놓치고 있는 조건은 무엇입니까?,조건 정리
F08,사실,지금 당장 바꾸기 어려운 것은 무엇입니까?,제약 파악
F09,사실,이미 해본 시도는 무엇입니까?,시도 이력 정리
F10,사실,아직 시도하지 않은 방법은 무엇입니까?,대안 탐색
F11,사실,이 문제를 더 작게 나누면 무엇이 남습니까?,문제 축소
F12,사실,팀원이 함께 알고 있어야 할 사실은 무엇입니까?,공유 정보 정리
E01,감정,이 장면이 내 상태와 닮은 지점은 무엇입니까?,상태 표현
E02,감정,지금 가장 크게 느끼는 반응은 무엇입니까?,정서 인식
E03,감정,이 상황에서 부담이 되는 부분은 무엇입니까?,부담 파악
E04,감정,지금 나에게 필요한 지원은 무엇입니까?,지원 요청
E05,감정,이 장면에서 마음이 편해지는 부분은 무엇입니까?,안정 요소 탐색
E06,감정,이 상황을 생각하면 어떤 말이 먼저 떠오릅니까?,첫 반응 표현
E07,감정,지금 팀 안에서 줄이고 싶은 반응은 무엇입니까?,반응 조절
E08,감정,지금 팀 안에서 늘리고 싶은 반응은 무엇입니까?,긍정 행동 확장
E09,감정,이 상황에서 내가 피하고 싶은 것은 무엇입니까?,회피 반응 인식
E10,감정,이 상황에서 내가 기대하는 것은 무엇입니까?,기대 정리
E11,감정,내 반응이 팀에 주는 영향은 무엇입니까?,영향 인식
E12,감정,오늘 내가 인정하고 싶은 노력은 무엇입니까?,노력 인정
I01,해석,나는 이 상황을 어떤 이야기로 받아들이고 있습니까?,자기 해석
I02,해석,다른 관점에서 해석하면 무엇이 달라집니까?,관점 전환
I03,해석,이 상황이 나에게 알려주는 것은 무엇입니까?,의미 정리
I04,해석,이 장면을 팀의 언어로 바꾸면 어떤 문장이 됩니까?,팀 언어화
I05,해석,이 문제의 핵심을 한 문장으로 말하면 무엇입니까?,핵심 정리
I06,해석,내가 붙잡고 있는 전제는 무엇입니까?,전제 점검
I07,해석,내가 바꿔야 할 질문은 무엇입니까?,질문 전환
I08,해석,이 상황에서 중요한 선택은 무엇입니까?,선택 정리
I09,해석,내가 과하게 크게 생각한 부분은 무엇입니까?,크기 조정
I10,해석,내가 작게 다루고 있던 중요한 부분은 무엇입니까?,중요 요소 회수
I11,해석,이 경험을 다음 사람에게 설명한다면 무엇을 말하겠습니까?,경험 언어화
I12,해석,팀이 함께 합의해야 할 의미는 무엇입니까?,공동 의미 정리
A01,행동,오늘 바로 바꿀 수 있는 작은 행동은 무엇입니까?,즉시 실행
A02,행동,다음 활동에서 내가 먼저 해볼 행동은 무엇입니까?,선행 행동
A03,행동,팀원에게 요청해야 할 것은 무엇입니까?,요청 표현
A04,행동,내가 팀에 줄 수 있는 도움은 무엇입니까?,기여 행동
A05,행동,이 문제를 줄이기 위한 첫 행동은 무엇입니까?,문제 완화
A06,행동,다음 회의에서 바꿔볼 말은 무엇입니까?,언어 전환
A07,행동,지금 멈춰야 할 행동은 무엇입니까?,중단 행동
A08,행동,지금 유지해야 할 행동은 무엇입니까?,유지 행동
A09,행동,다음 24시간 안에 할 수 있는 일은 무엇입니까?,단기 실행
A10,행동,팀이 함께 해볼 실험은 무엇입니까?,팀 실험
A11,행동,결과를 확인할 방법은 무엇입니까?,결과 점검
A12,행동,이 대화를 끝낸 뒤 바로 할 일은 무엇입니까?,후속 행동
