id,type,scene,conversation_theme,visual_prompt_kr
IMG01,길,갈림길,선택과 우선순위,"숲속 갈림길, 두 방향의 작은 표지판, 사람은 없음, 수채화 질감, 차분한 색감"
IMG02,길,오르막길,도전과 지속,"완만하지만 긴 오르막길, 멀리 작은 빛, 종이 질감, 따뜻한 자연색"
IMG03,길,좁은 길,집중과 제약,"양쪽이 높은 풀로 둘러싸인 좁은 길, 앞으로 이어지는 선명한 통로"
IMG04,길,넓은 길,가능성과 선택지,"넓은 들판 사이로 열린 길, 하늘은 밝고 과장되지 않은 분위기"
IMG05,길,끊어진 길,중단과 재설계,"작은 계곡 앞에서 길이 끊긴 장면, 건너갈 방법을 찾아야 하는 느낌"
IMG06,길,발자국 길,경험과 누적,"흙길 위 여러 발자국, 지나온 흔적이 보이는 장면, 사람은 없음"
IMG07,날씨,안개 낀 길,불확실성과 탐색,"옅은 안개가 낀 길, 앞쪽이 흐리지만 길은 이어져 있음"
IMG08,날씨,맑은 하늘,정리와 회복,"맑은 하늘 아래 조용한 들판, 가벼운 구름, 안정적인 분위기"
IMG09,날씨,비 내리는 창,압박과 기다림,"창밖에 비가 내리고 책상 위 빈 종이 한 장, 조용한 실내"
IMG10,날씨,바람 부는 들판,변화와 적응,"바람이 지나가는 풀밭, 멀리 낮은 언덕, 움직임이 느껴지는 장면"
IMG11,날씨,먹구름 사이 빛,긴장과 가능성,"먹구름 사이로 빛이 내려오는 하늘, 과장 없는 사실적 수채화"
IMG12,날씨,눈 쌓인 길,멈춤과 재출발,"눈이 얕게 쌓인 길, 작은 발자국이 하나 이어지는 장면"
IMG13,도구,나침반,방향과 판단,"오래된 나침반이 펼쳐진 지도 위에 놓인 장면, 탐험 카드와 같은 질감"
IMG14,도구,지도,구조와 계획,"접힌 지도와 연필, 표시된 경로 몇 개, 빈 공간이 있는 구성"
IMG15,도구,랜턴,관찰과 통찰,"따뜻한 빛을 내는 랜턴, 주변은 어둡지만 위협적이지 않은 분위기"
IMG16,도구,로프,연결과 협업,"정갈하게 놓인 굵은 로프, 매듭 하나, 팀 연결을 떠올리게 하는 장면"
IMG17,도구,빈 가방,준비와 자원,"열린 가방 안에 몇 가지 도구만 있는 장면, 준비 상태를 떠올리게 함"
IMG18,도구,부러진 연필,표현과 수정,"부러진 연필과 새 연필이 함께 놓인 책상, 다시 쓸 수 있는 느낌"
IMG19,공간,다리,전환과 연결,"작은 나무다리, 물길을 건너는 구조, 사람은 없음"
IMG20,공간,문,시작과 선택,"살짝 열린 문, 안쪽에서 은은한 빛, 과장 없는 실내 장면"
IMG21,공간,창,관점과 거리,"창문 너머 풍경, 창가에 놓인 작은 컵, 바깥을 바라볼 여지"
IMG22,공간,광장,공유와 참여,"비어 있는 작은 광장, 여러 방향에서 길이 모이는 장면"
IMG23,공간,계단,성장과 순서,"오래된 계단이 위로 이어지는 장면, 단정한 구도"
IMG24,공간,작은 방,집중과 고립,"책상과 의자 하나가 있는 작은 방, 조용하고 정돈된 분위기"
IMG25,사람,혼자 걷는 사람,책임과 독립,"멀리 혼자 걷는 사람의 뒷모습, 표정 없음, 넓은 배경"
IMG26,사람,함께 미는 사람들,협업과 역할,"세 명이 큰 상자를 함께 미는 실루엣, 표정 없이 행동 중심"
IMG27,사람,마주 앉은 두 사람,대화와 경청,"작은 테이블을 사이에 두고 마주 앉은 두 사람, 얼굴은 단순하게"
IMG28,사람,원형으로 앉은 팀,팀 대화,"네 명이 원형으로 앉아 종이를 가운데 둔 장면, 안정적인 분위기"
IMG29,사람,손을 내미는 장면,지원과 요청,"한 사람이 다른 사람에게 손을 내미는 장면, 얼굴보다 손 중심"
IMG30,사람,같은 방향을 보는 팀,공동 목표,"작은 팀이 같은 방향을 향해 서 있는 뒷모습, 넓은 공간"
IMG31,신호,표지판,의사결정과 안내,"여러 방향을 가리키는 나무 표지판, 글자는 없음"
IMG32,신호,등불,신호와 희망,"작은 등불 하나가 어두운 길가에 놓인 장면, 따뜻한 빛"
IMG33,신호,경고등,위험과 점검,"작은 경고등이 켜진 작업대, 위험을 알리지만 과하지 않은 분위기"
IMG34,신호,빈 종이,표현과 시작,"책상 위 빈 종이와 펜, 주변은 단정하고 조용한 구성"
IMG35,신호,작은 깃발,목표와 완주,"작은 깃발이 낮은 언덕 위에 꽂힌 장면, 성취를 차분하게 표현"
IMG36,신호,닫힌 상자,가능성과 미정,"닫힌 나무상자와 작은 열쇠, 아직 열리지 않은 가능성"
