id,category,emotion,description,color
CALM01,안정,차분함,생각과 반응이 안정된 상태,#2F5D50
CALM02,안정,편안함,긴장이 낮고 편안한 상태,#4F7768
CALM03,안정,안도감,걱정이 줄어든 상태,#6D8F7C
CALM04,안정,여유,바로 반응하지 않아도 되는 상태,#789A83
CALM05,안정,만족,결과를 받아들일 수 있는 상태,#8CA88D
CALM06,안정,신뢰,상대나 과정에 맡길 수 있는 상태,#3B665C
ENERGY01,활력,기대감,앞으로의 일이 긍정적으로 느껴지는 상태,#D6A035
ENERGY02,활력,흥미,더 알고 싶고 해보고 싶은 상태,#E0B64F
ENERGY03,활력,즐거움,활동에서 좋은 에너지가 생긴 상태,#E8C766
ENERGY04,활력,자신감,해낼 수 있다는 감각이 있는 상태,#C99228
ENERGY05,활력,몰입,지금 일에 집중이 잘 되는 상태,#D7AE3E
ENERGY06,활력,뿌듯함,노력과 결과가 긍정적으로 느껴지는 상태,#B98422
TENSION01,긴장,긴장,중요한 일을 앞두고 반응이 빨라진 상태,#D97845
TENSION02,긴장,걱정,원하지 않는 결과를 미리 떠올리는 상태,#E28A55
TENSION03,긴장,부담,해야 할 일이 크거나 많게 느껴지는 상태,#C96C3D
TENSION04,긴장,조심스러움,실수나 반응을 살피는 상태,#D88C68
TENSION05,긴장,초조함,빨리 해결해야 할 것처럼 느껴지는 상태,#E59A62
TENSION06,긴장,혼란,정보와 생각이 정리되지 않은 상태,#BD6A4C
FATIGUE01,피로,지침,에너지가 많이 소모된 상태,#6B7280
FATIGUE02,피로,피로감,몸이나 생각의 힘이 줄어든 상태,#7D8793
FATIGUE03,피로,무기력,시작할 힘이 잘 나지 않는 상태,#5F6673
FATIGUE04,피로,거리감,가까이 있고 싶지 않은 상태,#737B86
FATIGUE05,피로,망설임,선택 전에 멈춰 서 있는 상태,#8B929C
FATIGUE06,피로,어색함,어떻게 해야 할지 자연스럽지 않은 상태,#9AA1AA
GUARD01,경계,불편함,상황이나 말이 편하지 않은 상태,#A84C45
GUARD02,경계,답답함,원하는 만큼 진행되지 않는 상태,#B8584E
GUARD03,경계,서운함,기대한 반응이나 배려가 부족한 상태,#9E4A57
GUARD04,경계,실망,기대와 실제 결과의 차이를 느끼는 상태,#8E3F47
GUARD05,경계,반감,상대의 방식에 거리를 두고 싶은 상태,#7D3A40
GUARD06,경계,억울함,내 입장이 충분히 반영되지 않은 상태,#93454D
SHIFT01,전환,호기심,새로운 가능성을 더 알고 싶은 상태,#1F6F7A
SHIFT02,전환,깨달음,이해가 달라진 지점이 생긴 상태,#247C8C
SHIFT03,전환,용기,어렵지만 해보려는 힘이 생긴 상태,#1D5D75
SHIFT04,전환,결심,다음 행동을 선택하려는 상태,#244E73
SHIFT05,전환,책임감,내 역할을 받아들이고 움직이려는 상태,#2A5C87
SHIFT06,전환,고마움,상대의 도움이나 배려를 인식한 상태,#2B7A78
