id,category,emotion,short_description,need,next_action,color
CALM01,안정,차분함,생각과 반응의 속도가 안정된 상태,유지와 정리,지금 잘 작동하는 방식을 하나 말한다,#2F5D50
CALM02,안정,편안함,몸과 마음의 긴장이 낮은 상태,지속과 공유,편안함을 만든 조건을 하나 말한다,#4F7768
CALM03,안정,안도감,걱정하던 일이 줄어든 상태,마무리와 정리,도움이 된 요소를 하나 정리한다,#6D8F7C
CALM04,안정,여유,바로 반응하지 않아도 되는 상태,선택과 조절,급하지 않은 일을 하나 뒤로 미룬다,#789A83
CALM05,안정,만족,한 만큼의 결과를 받아들일 수 있는 상태,인정과 마무리,잘한 행동 하나를 말한다,#8CA88D
CALM06,안정,신뢰,상대나 과정에 맡길 수 있는 상태,역할과 약속,믿고 맡길 일을 하나 정한다,#3B665C
ENERGY01,활력,기대감,앞으로의 일이 긍정적으로 느껴지는 상태,방향과 시도,기대하는 결과를 한 문장으로 말한다,#D6A035
ENERGY02,활력,흥미,더 알고 싶고 해보고 싶은 상태,탐색과 질문,궁금한 점 하나를 적는다,#E0B64F
ENERGY03,활력,즐거움,활동 자체에서 좋은 에너지가 생긴 상태,참여와 확장,이 에너지를 팀에 나누는 행동을 정한다,#E8C766
ENERGY04,활력,자신감,해낼 수 있다는 감각이 있는 상태,도전과 책임,먼저 맡을 수 있는 역할을 말한다,#C99228
ENERGY05,활력,몰입,지금 하는 일에 집중이 잘 되는 상태,방해 감소,집중을 방해하는 요소 하나를 줄인다,#D7AE3E
ENERGY06,활력,뿌듯함,노력과 결과를 긍정적으로 받아들이는 상태,인정과 공유,과정에서 잘한 행동을 하나 말한다,#B98422
TENSION01,긴장,긴장,중요한 일을 앞두고 몸과 생각이 빨라진 상태,예측과 준비,진행 순서를 한 번 정리한다,#D97845
TENSION02,긴장,걱정,원하지 않는 결과를 미리 떠올리는 상태,정보와 지원,확실한 정보와 추측을 나눈다,#E28A55
TENSION03,긴장,부담,해야 할 일이 크거나 많게 느껴지는 상태,우선순위와 도움 요청,해야 할 일을 하나로 줄여 말한다,#C96C3D
TENSION04,긴장,조심스러움,실수나 반응을 살피며 움직이는 상태,안전한 시도,작게 시도할 행동 하나를 정한다,#D88C68
TENSION05,긴장,초조함,빨리 해결해야 할 것처럼 느껴지는 상태,속도 조절,바로 할 일과 나중에 할 일을 나눈다,#E59A62
TENSION06,긴장,혼란,정보와 생각이 정리되지 않은 상태,구조와 순서,지금 아는 것부터 세 가지로 정리한다,#BD6A4C
FATIGUE01,피로,지침,에너지가 많이 소모된 상태,휴식과 회복,잠깐 멈추고 해야 할 일 하나만 남긴다,#6B7280
FATIGUE02,피로,피로감,몸이나 생각의 힘이 줄어든 상태,속도 조절,오늘 안에 끝낼 일과 미룰 일을 나눈다,#7D8793
FATIGUE03,피로,무기력,시작할 힘이 잘 나지 않는 상태,작은 시작,가장 쉬운 행동 하나만 시작한다,#5F6673
FATIGUE04,피로,거리감,상황이나 사람과 가까이 있고 싶지 않은 상태,안전한 간격,참여할 수 있는 최소 역할을 정한다,#737B86
FATIGUE05,피로,망설임,선택 전에 멈춰 서 있는 상태,정보와 작은 결정,지금 고를 수 있는 선택지 두 개를 적는다,#8B929C
FATIGUE06,피로,어색함,무엇을 어떻게 해야 할지 자연스럽지 않은 상태,안내와 연습,먼저 따라 해볼 문장 하나를 정한다,#9AA1AA
GUARD01,경계,불편함,상황이나 말이 편하게 받아들여지지 않는 상태,존중과 설명,불편한 지점을 행동 언어로 바꾼다,#A84C45
GUARD02,경계,답답함,원하는 만큼 진행되지 않는다고 느끼는 상태,소통과 조율,상대에게 필요한 설명을 한 문장으로 요청한다,#B8584E
GUARD03,경계,서운함,기대했던 반응이나 배려가 부족하다고 느끼는 상태,인정과 표현,원했던 행동을 비난 없이 말한다,#9E4A57
GUARD04,경계,실망,기대와 실제 결과 사이의 차이를 느끼는 상태,조정과 재시도,다음에 바꿀 조건 하나를 정한다,#8E3F47
GUARD05,경계,반감,상대의 말이나 방식에 거리를 두고 싶은 상태,의도 확인,바로 반응하기 전에 질문 하나를 만든다,#7D3A40
GUARD06,경계,억울함,내 입장이나 노력이 충분히 반영되지 않았다고 느끼는 상태,사실 정리와 전달,내가 설명해야 할 사실 하나를 적는다,#93454D
SHIFT01,전환,호기심,새로운 가능성을 더 알고 싶은 상태,탐색과 실험,작게 실험할 방법 하나를 정한다,#1F6F7A
SHIFT02,전환,깨달음,이전과 다르게 이해한 지점이 생긴 상태,정리와 적용,새로 알게 된 점을 한 문장으로 말한다,#247C8C
SHIFT03,전환,용기,어렵지만 해보려는 힘이 생긴 상태,지지와 시작,도움을 요청할 사람을 한 명 정한다,#1D5D75
SHIFT04,전환,결심,다음 행동을 선택하려는 상태,선택과 실행,오늘 할 행동을 한 문장으로 정한다,#244E73
SHIFT05,전환,책임감,내 역할을 받아들이고 움직이려는 상태,역할과 범위,내가 맡을 범위를 분명히 말한다,#2A5C87
SHIFT06,전환,고마움,상대의 도움이나 배려를 인식한 상태,인정과 표현,고마운 행동을 구체적으로 말한다,#2B7A78
