id,type,front_text,facilitator_note
O01,관찰,가장 먼저 눈에 들어온 요소를 말한다.,첫 발언 부담을 낮춘다
O02,관찰,장면 속에서 크게 보이는 부분을 말한다.,우선 인식 요소를 말하게 한다
O03,관찰,장면 속에서 작게 처리된 부분을 말한다.,놓친 요소를 다룬다
O04,관찰,빠져 있는 요소를 하나 말한다.,누락된 자원이나 정보로 연결한다
O05,관찰,이 장면이 조용한지 복잡한지 말한다.,팀 분위기와 연결한다
O06,관찰,앞쪽의 요소와 뒤쪽의 요소를 나눈다.,전면 과제와 배경 조건을 나눈다
O07,관찰,이 장면에서 반복되는 요소를 말한다.,반복 행동을 찾게 한다
O08,관찰,이 장면의 흐름을 한 문장으로 말한다.,상황 흐름을 정리한다
O09,관찰,이 장면에 제목을 붙인다.,짧은 언어화로 시작한다
O10,관찰,이 장면이 시작인지 중간인지 말한다.,과정 인식을 돕는다
O11,관찰,가장 늦게 알아차린 요소를 말한다.,뒤늦게 인식한 요소를 다룬다
O12,관찰,이 장면을 팀 상황에 빗대어 한 단어로 말한다.,팀 대화로 옮긴다
S01,전환,반대쪽 입장에서 이 장면을 말한다.,관점 전환을 돕는다
S02,전환,시간이 지난 뒤 이 장면을 다시 설명한다.,거리 조절을 돕는다
S03,전환,이 장면에서 좋은 점 하나를 찾는다.,강점 탐색으로 전환한다
S04,전환,이 장면에서 조심할 점 하나를 찾는다.,위험 요소를 다룬다
S05,전환,이 장면을 리더의 관점에서 말한다.,리더십 강의에 연결한다
S06,전환,이 장면을 팀원의 관점에서 말한다.,팔로워십과 협업으로 연결한다
S07,전환,이 장면을 고객의 관점에서 말한다.,고객 경험으로 연결한다
S08,전환,이 장면을 처음 접한 사람에게 설명한다.,설명력을 훈련한다
S09,전환,이 장면의 원인을 하나 추측한다.,가설 세우기에 사용한다
S10,전환,이 장면의 다음 장면을 상상한다.,결과 예측으로 연결한다
S11,전환,이 장면을 더 단순하게 말한다.,핵심 정리에 사용한다
S12,전환,이 장면을 더 현실적인 말로 바꾼다.,현업 언어로 바꾼다
C01,연결,오늘 강의 내용과 이어지는 부분을 말한다.,학습 내용과 연결한다
C02,연결,우리 팀 활동과 닮은 부분을 말한다.,팀 활동 회고에 쓴다
C03,연결,최근 업무 장면과 비슷한 부분을 말한다.,현업 적용을 돕는다
C04,연결,회의 장면에 적용하면 어떤 장면인지 말한다.,회의 문화로 연결한다
C05,연결,고객 응대 장면에 적용하면 어떤 장면인지 말한다.,고객 접점으로 연결한다
C06,연결,AI 활용 장면에 적용하면 어떤 장면인지 말한다.,질문 설계와 연결한다
C07,연결,리더십 장면에 적용하면 어떤 장면인지 말한다.,리더십 강의에 쓴다
C08,연결,협업 장면에 적용하면 어떤 장면인지 말한다.,협업 강의에 쓴다
C09,연결,이 장면에서 필요한 말 한 문장을 만든다.,표현 훈련으로 연결한다
C10,연결,이 장면에서 줄일 행동 하나를 말한다.,행동 조절에 쓴다
C11,연결,이 장면에서 늘릴 행동 하나를 말한다.,강화 행동에 쓴다
C12,연결,이 장면을 우리 팀의 오늘 과제로 바꾼다.,팀 실천 과제로 연결한다
A01,실행,지금 바로 할 수 있는 한 행동을 말한다.,즉시 실행으로 연결한다
A02,실행,다음 회의에서 바꿀 말 한 문장을 만든다.,말 습관을 바꾼다
A03,실행,팀원에게 요청할 한 가지를 말한다.,요청 표현을 연습한다
A04,실행,내가 먼저 제공할 도움 한 가지를 말한다.,기여 행동을 만든다
A05,실행,다음 활동에서 시도할 방식을 정한다.,실습 전환에 쓴다
A06,실행,오늘 끝나기 전 해볼 일을 정한다.,단기 실행을 만든다
A07,실행,팀이 함께 지킬 약속 하나를 만든다.,팀 약속으로 정리한다
A08,실행,이 장면을 줄이기 위한 첫 행동을 말한다.,문제 완화 행동으로 연결한다
A09,실행,이 장면을 늘리기 위한 첫 행동을 말한다.,좋은 장면 강화에 쓴다
A10,실행,실행을 어렵게 만드는 요소 하나를 줄인다.,방해 요소를 낮춘다
A11,실행,실행 여부를 점검할 방법을 정한다.,후속 점검으로 연결한다
A12,실행,한 문장 실행 선언을 만든다.,마지막 발표에 쓴다
